id|course_id|grade
39|9|8
39|9|14
39|9|10
39|9|17
39|9|12
39|9|13
39|9|9
39|9|17
39|9|_
39|7|10.25
39|7|9.25
39|7|8.5
39|7|6
39|7|4.5
39|7|7
39|7|9.5
39|3|8
39|3|11
39|3|7
39|3|9.5
39|1|10
39|1|7
39|1|9.5
39|2|10
39|2|8
39|2|11.5
39|2|12
39|2|10
39|2|8.5
39|2|14
39|2|9
39|2|9.5
39|2|3.5
39|5|7
39|5|8
39|5|11
39|5|5
39|5|12
39|5|13
39|5|8
39|5|12
39|5|7
39|5|7
39|8|9
39|8|6.5
39|8|10
39|8|8
39|8|10
39|8|8.5
39|8|6
39|8|9
39|8|8
39|6|8.75
39|6|11.5
39|6|11.75
39|6|12.75
39|6|11.75
39|10|17.5
39|10|13.5
39|10|14
39|10|16.5
39|4|15
39|4|15
39|4|15.5
39|4|12
39|4|13.5
200|9|14
200|9|16
200|9|15
200|9|13
200|9|14
200|9|11
200|9|12
200|9|7
200|9|15
200|7|9.75
200|7|9
200|7|7.25
200|7|8.25
200|7|5.5
200|3|12
200|3|6.5
200|3|7.5
200|3|11
200|1|10.5
200|1|12.5
200|1|11
200|2|10.5
200|2|9
200|2|8
200|2|18.5
200|2|5.5
200|2|10
200|2|7
200|2|6.5
200|2|9
200|2|7.5
200|5|8
200|5|10
200|5|8
200|5|9
200|5|5
200|5|9
200|5|7
200|5|7
200|5|9
200|8|9
200|8|8.5
200|8|6.5
200|8|9
200|8|9.5
200|8|10
200|8|10
200|8|8.5
200|8|8.5
200|6|5
200|6|8.5
200|6|9.75
200|6|13.25
200|6|10.75
200|10|12
200|10|20
200|10|9
200|10|8.5
200|4|14.5
200|4|14
200|4|12.5
200|4|13.5
200|4|13
207|9|13
207|9|8
207|9|15
207|9|13
207|9|10
207|9|10
207|9|13
207|9|16
207|9|12
207|7|7.75
207|7|7.75
207|7|7.75
207|7|8
207|7|7.5
207|7|8.5
207|7|6
207|3|14
207|3|11.5
207|3|11
207|3|6
207|1|7.5
207|1|8.5
207|1|6
207|2|8
207|2|12
207|2|14.5
207|2|8
207|2|5.5
207|2|7
207|2|9.5
207|2|10
207|2|5.5
207|2|20
207|5|7
207|5|9
207|5|9
207|5|5
207|5|7
207|5|10
207|5|6
207|5|8
207|5|_
207|5|10
207|8|10.5
207|8|5.5
207|8|11
207|8|7.5
207|8|11
207|8|8.5
207|8|8
207|8|9.5
207|8|8
207|6|3.75
207|6|5.75
207|6|12.75
207|6|9
207|6|10.5
207|10|16.5
207|10|13.5
207|10|16
207|10|10.5
207|4|12.5
207|4|14.5
207|4|11.5
207|4|13.5
207|4|14.5
242|9|8
242|9|12
242|9|16
242|9|17
242|9|12
242|9|10
242|9|14
242|9|13
242|9|7
242|7|9.5
242|7|9.25
242|7|7
242|7|3.75
242|7|7
242|7|7.75
242|7|8.5
242|3|6
242|3|9
242|3|11
242|1|13
242|1|9.5
242|1|11.5
242|2|17.5
242|2|14.5
242|2|17
242|2|7.5
242|2|10.5
242|2|13
242|2|16.5
242|2|14
242|2|10.5
242|5|5
242|5|7
242|5|3
242|5|9
242|5|8
242|5|7
242|5|5
242|5|9
242|5|8
242|5|9
242|8|5
242|8|9.5
242|8|6.5
242|8|9.5
242|8|9
242|8|8
242|8|10
242|8|7
242|8|8.5
242|6|10.75
242|6|5.75
242|6|8
242|6|6
242|6|7.75
242|10|12.5
242|10|19.5
242|10|7.5
242|10|14
242|4|13
242|4|11
242|4|13.5
242|4|15
242|4|14
243|9|12
243|9|12
243|9|15
243|9|12
243|9|9
243|9|11
243|9|11
243|9|8
243|9|10
243|7|3.5
243|7|6.75
243|7|7
243|7|5
243|7|7
243|7|5.25
243|7|6.25
243|3|15
243|3|9
243|3|6.5
243|3|4.5
243|1|11.5
243|1|9.5
243|1|17.5
243|2|8
243|2|7.5
243|2|6.5
243|2|0
243|2|8.5
243|2|14.5
243|2|10
243|2|8
243|2|14
243|2|7.5
243|5|11
243|5|7
243|5|8
243|5|10
243|5|8
243|5|11
243|5|7
243|5|8
243|5|9
243|5|8
243|8|7.5
243|8|9
243|8|7
243|8|9.5
243|8|7.5
243|8|6.5
243|8|10
243|8|9
243|8|8
243|6|8.5
243|6|10.75
243|6|15.25
243|6|8
243|6|12.75
243|10|10
243|10|13
243|10|12
243|10|14
243|4|14.5
243|4|14
243|4|13.5
243|4|14.5
243|4|12
256|9|11
256|9|16
256|9|15
256|9|11
256|9|13
256|9|19
256|9|15
256|9|13
256|9|12
256|7|3.75
256|7|4.75
256|7|8.75
256|7|8.5
256|7|8.25
256|7|7.75
256|7|6.75
256|3|5.5
256|3|9.5
256|3|6
256|3|12
256|1|9
256|1|13.5
256|1|9.5
256|2|14.5
256|2|15
256|2|12.5
256|2|5.5
256|2|_
256|2|12.5
256|2|13.5
256|2|13.5
256|2|11
256|2|14
256|5|11
256|5|5
256|5|8
256|5|6
256|5|5
256|5|10
256|5|5
256|5|8
256|8|9
256|8|9.5
256|8|10.5
256|8|8
256|8|8.5
256|8|7.5
256|8|9.5
256|8|6
256|8|7.5
256|6|10.25
256|6|12.25
256|6|7.25
256|6|13.25
256|6|15.5
256|10|11
256|10|17.5
256|10|16.5
256|10|15.5
256|4|12
256|4|13.5
256|4|13
256|4|13
256|4|10
303|9|_
303|9|8
303|9|15
303|9|10
303|9|14
303|9|9
303|9|11
303|9|13
303|9|12
303|7|9.75
303|7|11.75
303|7|5.75
303|7|6.75
303|7|4.75
303|7|_
303|7|6.5
303|3|9.5
303|3|8
303|3|12.5
303|3|12
303|1|9
303|1|0
303|1|13.5
303|2|10.5
303|2|11
303|2|12
303|2|15.5
303|2|17
303|2|17
303|2|15
303|2|4.5
303|2|17
303|2|14
303|5|9
303|5|9
303|5|7
303|5|7
303|5|7
303|5|9
303|5|9
303|5|7
303|5|8
303|5|5
303|8|8
303|8|9.5
303|8|9
303|8|7.5
303|8|4.5
303|8|8
303|8|8.5
303|8|7.5
303|8|11.5
303|6|1.75
303|6|10.25
303|6|7.25
303|6|7.25
303|6|11
303|10|15
303|10|9.5
303|10|7
303|10|17.5
303|4|13
303|4|11.5
303|4|13.5
303|4|12.5
303|4|13
330|9|15
330|9|12
330|9|17
330|9|11
330|9|11
330|9|19
330|9|17
330|9|11
330|9|16
330|7|6.5
330|7|7.5
330|7|6.75
330|7|5.25
330|7|11.25
330|7|10
330|3|8
330|3|5
330|3|3
330|3|10.5
330|1|15.5
330|1|9
330|1|8.5
330|2|7
330|2|5.5
330|2|7.5
330|2|11
330|2|9.5
330|2|13.5
330|2|13.5
330|2|10
330|2|9.5
330|2|7
330|5|12
330|5|6
330|5|9
330|5|6
330|5|10
330|5|11
330|5|7
330|5|7
330|5|9
330|5|9
330|8|8.5
330|8|10.5
330|8|9.5
330|8|10
330|8|7.5
330|8|8
330|8|7.5
330|8|10.5
330|8|10
330|6|_
330|6|12.75
330|6|9.75
330|6|12
330|6|9
330|10|14.5
330|10|16.5
330|10|9.5
330|10|13
330|4|11.5
330|4|11.5
330|4|14.5
330|4|13
330|4|10.5
375|9|13
375|9|14
375|9|12
375|9|11
375|9|8
375|9|19
375|9|13
375|9|13
375|9|12
375|7|6.25
375|7|7.75
375|7|6
375|7|6
375|7|4.25
375|7|9.5
375|7|7.5
375|3|5
375|3|11.5
375|3|9
375|3|7
375|1|8.5
375|1|18
375|1|12
375|2|19
375|2|6.5
375|2|9
375|2|7
375|2|10
375|2|8
375|2|10
375|2|11
375|2|5.5
375|2|7.5
375|5|7
375|5|13
375|5|5
375|5|6
375|5|8
375|5|12
375|5|8
375|5|8
375|5|6
375|5|10
375|8|9.5
375|8|_
375|8|7
375|8|6.5
375|8|9
375|8|8.5
375|8|8
375|8|8.5
375|8|9.5
375|6|10
375|6|10.75
375|6|11
375|6|12.25
375|6|12
375|10|_
375|10|15.5
375|10|13
375|10|15.5
375|4|11
375|4|12.5
375|4|14
375|4|13
375|4|13
377|9|8
377|9|10
377|9|15
377|9|13
377|9|8
377|9|14
377|9|15
377|9|9
377|9|17
377|7|5.25
377|7|8
377|7|5.5
377|7|6
377|7|6.5
377|7|9.25
377|7|0.75
377|3|9
377|3|2
377|3|6
377|3|9.5
377|1|10.5
377|1|12
377|1|9.5
377|2|13
377|2|12
377|2|8
377|2|11
377|2|8
377|2|13.5
377|2|6
377|2|11
377|2|7.5
377|2|8
377|5|11
377|5|7
377|5|6
377|5|8
377|5|10
377|5|9
377|5|7
377|5|9
377|5|8
377|5|9
377|8|9
377|8|10
377|8|9.5
377|8|7.5
377|8|10.5
377|8|8
377|8|5.5
377|8|9.5
377|8|8.5
377|6|11.5
377|6|12
377|6|8.25
377|6|9.75
377|6|4.75
377|10|13
377|10|12.5
377|10|14.5
377|10|16.5
377|4|18
377|4|12.5
377|4|14
377|4|15
377|4|15
393|9|12
393|9|12
393|9|12
393|9|9
393|9|19
393|9|5
393|9|10
393|9|13
393|7|4.5
393|7|7
393|7|5.5
393|7|6.5
393|7|4.5
393|7|6.75
393|7|3.5
393|3|7
393|3|8.5
393|3|5
393|3|8
393|1|8
393|1|13
393|1|14
393|2|8.5
393|2|7.5
393|2|10.5
393|2|8.5
393|2|14.5
393|2|9
393|2|4
393|2|13.5
393|2|11.5
393|5|7
393|5|7
393|5|7
393|5|6
393|5|10
393|5|_
393|5|7
393|5|9
393|5|10
393|5|10
393|8|9.5
393|8|9.5
393|8|_
393|8|9
393|8|8.5
393|8|10
393|8|8.5
393|8|8
393|8|8.5
393|6|11
393|6|6.5
393|6|12.75
393|6|8.75
393|6|9.5
393|10|18.5
393|10|13
393|10|16.5
393|10|18.5
393|4|12.5
393|4|14.5
393|4|14
393|4|13
393|4|14.5
406|9|14
406|9|16
406|9|10
406|9|15
406|9|15
406|9|4
406|9|13
406|9|7
406|7|6
406|7|7.25
406|7|7.25
406|7|10
406|7|7
406|7|_
406|7|5
406|3|0
406|3|11
406|3|10.5
406|3|6
406|1|4.5
406|1|11.5
406|1|11
406|2|11
406|2|10
406|2|9.5
406|2|6
406|2|6.5
406|2|8
406|2|8.5
406|2|7
406|2|12
406|5|6
406|5|9
406|5|5
406|5|10
406|5|6
406|5|7
406|5|9
406|5|6
406|5|10
406|5|8
406|8|9
406|8|7
406|8|6.5
406|8|8.5
406|8|7
406|8|11.5
406|8|8.5
406|8|8.5
406|8|9
406|6|14.25
406|6|9.25
406|6|13
406|6|9.5
406|6|10.5
406|10|14.5
406|10|9
406|10|18
406|10|7
406|4|14
406|4|14
406|4|11.5
406|4|14
406|4|14.5
407|9|12
407|9|13
407|9|10
407|9|12
407|9|6
407|9|14
407|9|11
407|9|14
407|9|8
407|7|4.25
407|7|7
407|7|3.5
407|7|5.5
407|7|5.5
407|7|7.5
407|7|9
407|3|9
407|3|4.5
407|3|5
407|3|0.5
407|1|6.5
407|1|4.5
407|1|11.5
407|2|11.5
